"Timestamp","1.  What is your gender? ","2. What age group do you fall under?","3. What class of seat do you typically travel in during your flights? ","4. During your flights, which devices did you use?  ","5. How frequently did you use each device during your flights?  ","6. Approximately how many megabytes of data did you use per flight for internet purposes?   ","7. Did you connect any USB devices to the system during your flights?  ","7.1. If yes, please specify the type of USB devices used (e.g., charging, data transfer)  ","8. Was your flight domestic or international?","9. What was the duration of your flight?  ","10. How often do you typically travel by air in a year? ","11. Do you have frequent flyer status with any airline?   ","12. What is the primary purpose of your recent air travel?  "
"2024/10/11 7:20:13 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:21:05 am EEST","Male","25-34 years","Business","Laptop","Occasionally","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/11 7:21:38 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:22:39 am EEST","Female","25-34 years","Business","Smartphone","Frequently","100-500 MB","Yes","Charging ","International","4-6 hours","Less than 5 times","No","Business"
"2024/10/11 7:23:17 am EEST","Female","25-34 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:23:45 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:24:23 am EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:24:56 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/11 7:25:37 am EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:26:27 am EEST","Male","25-34 years","Business","Laptop","Frequently","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/11 7:27:18 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/11 7:28:24 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/11 7:29:14 am EEST","Male","25-34 years","Business","Smartphone","Frequently","100-500 MB","Yes","Earphone ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/11 7:29:47 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:30:36 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/11 7:31:23 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","6-10 times","No","Business"
"2024/10/11 7:31:55 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:32:25 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/11 7:33:04 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/12 10:06:00 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
